label,Blue,Green,Red,NIR,SWIR1,SWIR2,longitude,latitude
1,0.158,0.1587,0.1516,0.0976,0.0005,0.0201,116.28591624246091,29.183795445468967
1,0.1617,0.167,0.1342,0.061,0.0004,0.0148,116.40921065209963,29.049797019559364
1,0.1564,0.1548,0.1294,0.0724,0.0005,0.0181,116.42506845398242,28.979229801180935
1,0.1633,0.1713,0.1592,0.0898,0.0005,0.0175,116.3192176264148,29.111642446902255
1,0.151,0.1498,0.1331,0.0766,0.0007,0.0224,116.40683198181723,29.02997476720587
1,0.1562,0.1607,0.1497,0.0932,0.0005,0.0209,116.26450820991917,29.21828616456404
1,0.1587,0.1619,0.1541,0.0873,0.0005,0.0199,116.36897147982204,29.077349950330714
1,0.1436,0.1382,0.1138,0.0681,0.0004,0.0135,116.2972149263024,28.802811755234856
1,0.1558,0.1592,0.143,0.0705,0.0005,0.0154,116.028028739342,29.418490913334303
1,0.1503,0.1476,0.1163,0.0698,0.0005,0.014,116.0859097162142,28.725108526009166
1,0.1439,0.1393,0.1055,0.0676,0.0007,0.0142,116.06014078815467,28.701718268232046
1,0.1433,0.1312,0.0937,0.0655,0.0005,0.0199,115.93208903795112,28.705682718702743
1,0.1357,0.1174,0.0846,0.0654,0.0005,0.0199,115.9848162292114,28.708656056555768
1,0.1421,0.1331,0.101,0.0541,0.0005,0.0151,115.95428996058702,28.7837823929755
1,0.1379,0.1289,0.099,0.0683,0.0005,0.0205,115.9552810732047,28.811137101223316
1,0.1307,0.1174,0.0787,0.0671,0.0005,0.0153,115.96816553723447,28.919564821596914
1,0.1289,0.1161,0.0783,0.0754,0.0005,0.0185,116.7229969068554,28.89934612419636
1,0.13,0.1196,0.0855,0.0818,0.0005,0.0182,116.70931955273149,28.855538946495145
1,0.1182,0.0988,0.0669,0.062,0.0006,0.01935,116.62011941714078,28.849790493312632
1,0.127,0.1134,0.0765,0.0669,0.0005,0.019,116.65579947137711,29.04385034385331
1,0.1268,0.1157,0.0777,0.0766,0.0005,0.014,116.6222998648997,29.002421836434515
1,0.1295,0.1095,0.0759,0.0678,0.0005,0.0192,116.68335240214846,28.9960787156814
1,0.1287,0.1176,0.0778,0.0772,0.0005,0.014,116.61100118105821,29.000836056246236
1,0.1245,0.1079,0.0736,0.0589,0.0007,0.018,116.62368742256446,29.035524997864844
1,0.1288,0.1175,0.0783,0.0674,0.0005,0.0164,116.6534208010947,29.025812094211634
