label,Blue,Green,Red,NIR,SWIR1,SWIR2,longitude,latitude
0,0.158,0.1587,0.1516,0.0976,0.0005,0.0201,116.28591624246091,29.183795445468967
0,0.1617,0.167,0.1342,0.061,0.0004,0.0148,116.40921065209963,29.049797019559364
0,0.1564,0.1548,0.1294,0.0724,0.0005,0.0181,116.42506845398242,28.979229801180935
0,0.1633,0.1713,0.1592,0.0898,0.0005,0.0175,116.3192176264148,29.111642446902255
0,0.151,0.1498,0.1331,0.0766,0.0007,0.0224,116.40683198181723,29.02997476720587
0,0.1562,0.1607,0.1497,0.0932,0.0005,0.0209,116.26450820991917,29.21828616456404
0,0.1587,0.1619,0.1541,0.0873,0.0005,0.0199,116.36897147982204,29.077349950330714
0,0.1436,0.1382,0.1138,0.0681,0.0004,0.0135,116.2972149263024,28.802811755234856
0,0.1558,0.1592,0.143,0.0705,0.0005,0.0154,116.028028739342,29.418490913334303
0,0.1503,0.1476,0.1163,0.0698,0.0005,0.014,116.0859097162142,28.725108526009166
0,0.1439,0.1393,0.1055,0.0676,0.0007,0.0142,116.06014078815467,28.701718268232046
0,0.1433,0.1312,0.0937,0.0655,0.0005,0.0199,115.93208903795112,28.705682718702743
0,0.1357,0.1174,0.0846,0.0654,0.0005,0.0199,115.9848162292114,28.708656056555768
0,0.1421,0.1331,0.101,0.0541,0.0005,0.0151,115.95428996058702,28.7837823929755
0,0.1379,0.1289,0.099,0.0683,0.0005,0.0205,115.9552810732047,28.811137101223316
0,0.1307,0.1174,0.0787,0.0671,0.0005,0.0153,115.96816553723447,28.919564821596914
0,0.1289,0.1161,0.0783,0.0754,0.0005,0.0185,116.7229969068554,28.89934612419636
0,0.13,0.1196,0.0855,0.0818,0.0005,0.0182,116.70931955273149,28.855538946495145
0,0.1182,0.0988,0.0669,0.062,0.0006,0.01935,116.62011941714078,28.849790493312632
0,0.127,0.1134,0.0765,0.0669,0.0005,0.019,116.65579947137711,29.04385034385331
0,0.1268,0.1157,0.0777,0.0766,0.0005,0.014,116.6222998648997,29.002421836434515
0,0.1295,0.1095,0.0759,0.0678,0.0005,0.0192,116.68335240214846,28.9960787156814
0,0.1287,0.1176,0.0778,0.0772,0.0005,0.014,116.61100118105821,29.000836056246236
0,0.1245,0.1079,0.0736,0.0589,0.0007,0.018,116.62368742256446,29.035524997864844
0,0.1288,0.1175,0.0783,0.0674,0.0005,0.0164,116.6534208010947,29.025812094211634
0,0.1252,0.1084,0.0732,0.0569,0.0005,0.0148,116.57373534663365,28.93403506581497
0,0.1401,0.1248,0.0919,0.0912,0.0008,0.0532,116.50495213096704,29.00638628690521
0,0.1451,0.1448,0.1149,0.0751,0.0007,0.0205,116.60564917292278,29.014116965323076
0,0.1228,0.1011,0.0729,0.0559,0.0006,0.0144,116.65857458670659,28.93859418385627
0,0.142,0.1382,0.1014,0.07,0.0005,0.0217,116.71407689329638,28.913618145890872
0,0.1422,0.1365,0.1136,0.0824,0.0003,0.0248,116.69375908463405,28.973084902951342
0,0.1505,0.1495,0.1221,0.0785,0.0006,0.0225,116.63597721902362,29.005196951764013
0,0.1294,0.1222,0.0848,0.0681,0.0005,0.0175,116.64905990557693,28.973084902951353
0,0.1251,0.1064,0.0751,0.0613,0.0004,0.016,116.61536207657599,28.98061735884568
0,0.1283,0.1107,0.0802,0.0613,0.0005,0.0155,116.52774772117355,28.92868305767953
0,0.15645,0.1561,0.1319,0.0695,0.0006,0.0149,116.39711907816405,28.866441185289563
0,0.1431,0.1371,0.1024,0.0553,0.0005,0.0138,116.33567009586822,28.946919529844745
0,0.1314,0.1155,0.0816,0.0474,0.0006,0.0131,116.260741981972,29.019468973458522
0,0.1426,0.1318,0.0928,0.0508,0.0004,0.0132,116.15449470935728,29.078142840424864
0,0.1696,0.1786,0.1615,0.0731,0.0003,0.0145,116.15687337963969,29.220466612322937
0,0.1253,0.1095,0.0713,0.061,0.0005,0.0139,115.942793054222,29.067042379106894
0,0.1475,0.1412,0.1066,0.0539,0.0005,0.0136,116.03952564570704,29.157431849838822
0,0.1464,0.1377,0.1116,0.0507,0.0003,0.01235,116.02247850868304,29.134041592061703
0,0.1432,0.1328,0.0937,0.0582,0.0005,0.013,116.25162374588942,28.94017996404454
0,0.1323,0.1143,0.091,0.0522,0.0006,0.0132,116.1386369074745,29.124923355979092
0,0.1444,0.1357,0.1059,0.0578,0.0005,0.0131,116.56322955288631,29.213330601475676
0,0.1254,0.108,0.0765,0.0609,0.0005,0.0189,116.59058426113413,29.31154986188722
0,0.118,0.0994,0.069,0.0734,0.0007,0.0219,116.73181780915277,29.441583837326128
0,0.1288,0.1142,0.0778,0.0559,0.0007,0.0155,115.99056468239387,29.3429681318675
0,0.1365,0.1294,0.1053,0.083,0.0004,0.0117,115.95567751825172,29.235927969158645
0,0.1629,0.1702,0.1658,0.1396,0.0005,0.0144,116.08174704321993,29.174677209386346
0,0.1618,0.1687,0.1622,0.1283,0.0005,0.0136,116.06152834581938,29.16159452283304
0,0.1624,0.17,0.1602,0.1212,0.0003,0.0129,116.08194526574347,29.156044292174062
