order,complexity,expression,score,error
9,106,[(((x91 * (x17 + mean(v102-v103))) + x65) + ((x12 + min(v17-v18)) + x20)); (mean(v99-v103) + (min(v70-v89) + (softplus(sigmoid((mean(v61-v98) + x89))) + softplus(softplus(softplus(sigmoid(mean(v61-v98)))))))); ((x37 + mean(v36-v52)) + (mean(v65-v86) + x37)); (x92 + min(v89-v92)); (((x27 + (x34 * x29)) + min(v9-v93)) + (min(v9-v93) + min(v21-v76))); ((max(v21-v42) + (tanh((min(v99-v100) * x25)) + softplus(softplus(softplus((softplus(tanh(x41)) * (softplus(min(v47-v78)) * softplus(max(v40-v82))))))))) + ((max(v10-v48) * x88) + mean(v92-v93))); (tanh((max(v87-v103) * ((x47 + x10) * x99))) + (max(v47-v64) + x34)); (x34 + (((min(v3-v36) + mean(v65-v84)) + x52) + x40)); (min(v12-v18) + (((x85 + (mean(v92-v93) + x89)) * mean(v20-v31)) + x91))],0.0003778720568348134,0.35629425213650184
9,107,[((mean(v23-v53) + (sigmoid(x35) + (x4 + (((tanh(x71) + min(v86-v100)) * softplus(x62)) * (min(v61-v98) + tanh(((x64 * min(v61-v98)) * x29))))))) + min(v21-v32)); ((softplus(1.441) + min(v101-v102)) * softplus((sigmoid(min(v22-v28)) + softplus(tanh(max(v13-v71)))))); (x46 + ((x11 + x47) + x47)); (max(v98-v101) + max(v88-v96)); (x14 + ((mean(v4-v11) * (x26 * mean(v23-v53))) + min(v101-v102))); (softplus(((softplus((max(v24-v91) * (((x41 + x9) + ((x100 * x22) + x71)) * sigmoid(tanh(mean(v18-v66)))))) + (x100 + x71)) * sigmoid(tanh(mean(v31-v66))))) + softplus(x73)); (x10 + ((x14 + x10) + (x16 + min(v21-v32)))); ((((min(v21-v32) + mean(v30-v60)) + min(v21-v32)) + max(v33-v54)) + mean(v23-v53)); ((x80 * x45) + min(v22-v27))],0.010412837792843167,0.3526034670043319
9,109,[((mean(v6-v26) + ((x4 + (((tanh(x71) + min(v86-v100)) * softplus(x62)) * (min(v61-v98) + (x29 * tanh((x64 * min(v61-v98))))))) + sigmoid((x35 * x57)))) + min(v21-v32)); ((softplus(1.558) + min(v101-v102)) * softplus((sigmoid(min(v22-v28)) + softplus(max(v13-v71))))); (x46 + ((x10 + x47) + x47)); (max(v88-v96) + max(v88-v96)); ((mean(v4-v11) + ((mean(v4-v11) * x26) * mean(v23-v53))) + min(v101-v102)); (softplus((((softplus((max(v24-v91) * (((x41 + x9) + ((x100 * x22) + x71)) * sigmoid(tanh(softplus(tanh(max(v77-v81)))))))) + x100) + x71) * sigmoid(mean(v31-v66)))) + softplus(x73)); ((x61 + x10) + (x14 + (x10 + x16))); ((min(v21-v32) + (mean(v30-v60) + min(v21-v32))) + (max(v33-v54) + mean(v23-v53))); ((x80 * x45) + min(v22-v27))],0.0044476159323272,0.34948088603942695
9,111,[(((x9 + x9) + tanh(x10)) + min(v29-v45)); (x71 + (((sigmoid(x45) + softplus(softplus(sigmoid(min(v32-v37))))) + (x85 + sigmoid(min(v68-v91)))) + x101)); ((((x98 + x49) + x40) + (x3 + mean(v34-v66))) + min(v10-v76)); (min(v90-v93) + (min(v95-v97) + min(v90-v93))); (((min(v59-v101) + mean(v73-v95)) + ((((mean(v73-v95) + min(v16-v30)) + min(v16-v30)) + x29) + (x1 + x19))) + mean(v88-v100)); ((x93 + min(v69-v84)) + ((x4 * x93) + softplus(softplus((mean(v63-v91) + (((x54 + (tanh((mean(v14-v41) * (x81 + mean(v14-v41)))) + softplus(x39))) + x95) + softplus(mean(v57-v85)))))))); (((x14 + x17) + min(v16-v31)) + min(v16-v31)); (x29 + ((x72 + mean(v60-v65)) + (min(v19-v39) + tanh(x59)))); ((x3 + min(v10-v76)) + ((x74 * mean(v60-v65)) + x84))],0.01535185849548341,0.3389135817339273
9,113,[((min(v10-v17) + (x6 + (min(v17-v19) + mean(v45-v50)))) + (min(v86-v99) * x84)); (((softplus(softplus((x50 + softplus(min(v96-v102))))) + (softplus(((min(v54-v63) * max(v87-v98)) + sigmoid(min(v72-v75)))) + min(v86-v99))) * softplus(tanh((((min(v62-v101) * max(v23-v61)) * x56) + max(v67-v93))))) + x76); (x50 + x48); (x85 + ((x8 + max(v94-v101)) + x86)); ((((x83 * x51) + min(v15-v17)) + ((min(v15-v18) + ((x14 + min(v97-v102)) + x10)) + x12)) + min(v23-v88)); ((sigmoid(x50) + (softplus(x54) + sigmoid(min(v40-v46)))) * (sigmoid(mean(v79-v85)) + (sigmoid(softplus(softplus(x35))) + (mean(v80-v87) + min(v32-v81))))); ((x14 + (x14 + x15)) + x15); (((x45 + x33) + (x33 + x59)) + (min(v72-v93) + min(v32-v37))); ((((min(v39-v72) + x50) * x89) + min(v62-v101)) + min(v37-v103))],0.00842747591066031,0.33324908118554053
9,115,[((min(v10-v17) + (x6 + (min(v17-v19) + mean(v45-v50)))) + (min(v86-v99) * x84)); (((softplus(softplus((x50 + softplus(min(v96-v102))))) + (softplus(((min(v54-v63) * max(v87-v98)) + sigmoid(min(v72-v75)))) + min(v86-v99))) * softplus(tanh((((min(v62-v101) * max(v23-v61)) * x56) + max(v67-v93))))) + x76); (((min(v29-v54) + x36) + x50) + x48); (x85 + ((x8 + max(v94-v101)) + x86)); (((((x83 * x51) + min(v15-v17)) + ((min(v15-v18) + ((x14 + min(v97-v102)) + x10)) + x12)) + min(v23-v88)) + min(v32-v81)); ((sigmoid(x50) + (softplus(x54) + sigmoid(min(v40-v46)))) * (sigmoid(mean(v79-v85)) + ((sigmoid(softplus(softplus(x35))) + mean(v80-v87)) + min(v32-v81)))); (x14 + x15); ((x45 + (x33 + (x33 + x59))) + (min(v72-v93) + min(v32-v37))); ((((min(v39-v72) + x50) * x89) + min(v62-v101)) + min(v37-v103))],0.04173613712302494,0.30656135895093845
9,117,[((min(v10-v17) + (x6 + (min(v17-v19) + mean(v45-v50)))) + (min(v86-v99) * x84)); (((softplus(softplus((x50 + softplus(min(v96-v102))))) + (softplus(((min(v54-v63) * max(v87-v98)) + sigmoid(min(v72-v75)))) + min(v86-v99))) * softplus(tanh((((min(v62-v101) * max(v23-v61)) * x56) + max(v67-v93))))) + x76); (((min(v29-v54) + x36) + x50) + x48); (x85 + ((x8 + max(v94-v101)) + x86)); ((((x83 * x51) + min(v15-v17)) + ((min(v15-v18) + ((x14 + min(v97-v102)) + x10)) + x12)) + min(v23-v88)); ((sigmoid(x50) + (softplus(x54) + sigmoid(min(v40-v46)))) * (sigmoid(mean(v79-v85)) + (sigmoid(softplus(softplus(x35))) + (mean(v80-v87) + min(v32-v81))))); ((x14 + (x14 + x15)) + x15); (((x45 + x33) + (x33 + x59)) + (min(v72-v93) + min(v32-v37))); ((((min(v39-v72) + x50) * x89) + min(v62-v101)) + min(v37-v103))],0.051252599453234786,0.2766941456369573
9,119,[((min(v10-v17) + (x6 + (min(v17-v19) + mean(v45-v50)))) + (min(v86-v99) * x84)); (((softplus(softplus((x50 + softplus(min(v96-v102))))) + (softplus(((min(v54-v63) * max(v87-v98)) + sigmoid(min(v72-v75)))) + min(v86-v99))) * softplus(tanh((((min(v62-v101) * max(v23-v61)) * x56) + max(v67-v93))))) + x76); (((min(v29-v54) + x36) + x50) + x48); (x85 + ((x8 + max(v94-v101)) + x86)); (((((x83 * x51) + min(v15-v17)) + ((min(v15-v18) + ((x14 + min(v97-v102)) + x10)) + x12)) + min(v23-v88)) + min(v32-v81)); ((sigmoid(x50) + (softplus(x54) + sigmoid(min(v40-v46)))) * (sigmoid(mean(v79-v85)) + ((sigmoid(softplus(softplus(x35))) + mean(v80-v87)) + min(v32-v81)))); ((x14 + (x14 + x15)) + x15); ((x45 + (x33 + (x33 + x59))) + (min(v72-v93) + min(v32-v37))); ((((min(v39-v72) + x50) * x89) + min(v62-v101)) + min(v37-v103))],0.002922225663782333,0.2750817365829457
9,121,[((min(v2-v18) + ((x6 + min(v17-v18)) + mean(v46-v50))) + (min(v86-v99) * x84)); (((softplus(softplus((x50 + softplus(min(v96-v102))))) + (softplus(((min(v54-v63) * max(v87-v98)) + sigmoid(min(v72-v75)))) + min(v86-v99))) * softplus(tanh(((min(v62-v101) * (max(v23-v61) * x56)) + max(v67-v93))))) + x76); ((min(v29-v54) + (x36 + x50)) + x48); (x85 + ((x8 + max(v91-v101)) + x86)); ((((x83 * x51) + min(v15-v17)) + (min(v15-v18) + (((x14 + min(v97-v102)) + x10) + x12))) + min(v23-v88)); ((sigmoid(x50) + (softplus(x54) + sigmoid(min(v40-v46)))) * (sigmoid(mean(v79-v85)) + (sigmoid(softplus(softplus(x35))) + (mean(v80-v87) + min(v32-v81))))); ((x14 + (x14 + x15)) + x15); (((x45 + x33) + (x33 + x59)) + (min(v72-v93) + min(v32-v37))); ((((min(v39-v72) + x50) * x89) + (min(v62-v101) + min(v37-v103))) + (x8 + x35))],0.015948400726821566,0.2664459679081617
9,123,[(min(v2-v18) + (((x6 + min(v17-v18)) + mean(v46-v50)) + (min(v86-v99) * x84))); (((softplus(softplus((x50 + softplus(min(v96-v102))))) + (softplus(((min(v54-v63) * max(v87-v98)) + sigmoid(min(v72-v75)))) + min(v86-v99))) * softplus(tanh(((min(v62-v101) * (max(v23-v61) * x56)) + max(v67-v93))))) + x76); ((min(v29-v54) + (x36 + x50)) + x48); (x85 + ((x8 + max(v89-v101)) + x86)); ((min(v14-v86) + (((x83 * x51) + min(v15-v17)) + (min(v15-v18) + (((x14 + min(v97-v102)) + x10) + x12)))) + min(v23-v88)); ((sigmoid(x50) + (softplus(x54) + sigmoid(min(v40-v46)))) * (sigmoid(mean(v79-v85)) + (sigmoid(softplus(softplus(x35))) + (min(v32-v81) + mean(v80-v87))))); (((x14 + x14) + x15) + x15); ((((x45 + x33) + (x33 + x59)) + min(v72-v93)) + min(v32-v37)); (((((min(v39-v72) + x50) * x89) + (min(v62-v101) + min(v37-v103))) + x8) + x35)],0.004633144624973837,0.26398840632296244
